precision,recall,F1,method,data
0,0,0,Chang,ambient_temperature_system_failure
0,0,0,decomp+Chang,ambient_temperature_system_failure
0,0,0,decomp+IQR,ambient_temperature_system_failure
0,0,0,decomp+Chang+IQR,ambient_temperature_system_failure
0.0875,0.017369727047146403,0.028985507246376812,Chang,art_daily_flatmiddle
0.09090909090909091,0.017369727047146403,0.02916666666666667,decomp+Chang,art_daily_flatmiddle
0,0,0,decomp+IQR,art_daily_flatmiddle
0.09090909090909091,0.017369727047146403,0.02916666666666667,decomp+Chang+IQR,art_daily_flatmiddle
0.06451612903225806,0.009925558312655087,0.017204301075268817,Chang,art_daily_jumpsdown
0.06451612903225806,0.009925558312655087,0.017204301075268817,decomp+Chang,art_daily_jumpsdown
0,0,0,decomp+IQR,art_daily_jumpsdown
0.06451612903225806,0.009925558312655087,0.017204301075268817,decomp+Chang+IQR,art_daily_jumpsdown
0.36470588235294116,0.07692307692307693,0.12704918032786885,Chang,art_daily_jumpsup
0.36470588235294116,0.07692307692307693,0.12704918032786885,decomp+Chang,art_daily_jumpsup
0,0,0,decomp+IQR,art_daily_jumpsup
0.36470588235294116,0.07692307692307693,0.12704918032786885,decomp+Chang+IQR,art_daily_jumpsup
0,0,0,Chang,art_daily_no_noise
0,0,0,decomp+Chang,art_daily_no_noise
0,0,0,decomp+IQR,art_daily_no_noise
0,0,0,decomp+Chang+IQR,art_daily_no_noise
0.031746031746031744,0.004962779156327543,0.008583690987124463,Chang,art_daily_nojump
0.031746031746031744,0.004962779156327543,0.008583690987124463,decomp+Chang,art_daily_nojump
0,0,0,decomp+IQR,art_daily_nojump
0.031746031746031744,0.004962779156327543,0.008583690987124463,decomp+Chang+IQR,art_daily_nojump
0,0,0,Chang,art_daily_perfect_square_wave
0,0,0,decomp+Chang,art_daily_perfect_square_wave
0,0,0,decomp+IQR,art_daily_perfect_square_wave
0,0,0,decomp+Chang+IQR,art_daily_perfect_square_wave
0,0,0,Chang,art_daily_small_noise
0,0,0,decomp+Chang,art_daily_small_noise
0,0,0,decomp+IQR,art_daily_small_noise
0,0,0,decomp+Chang+IQR,art_daily_small_noise
0,0,0,Chang,art_flatline
0,0,0,decomp+Chang,art_flatline
0,0,0,decomp+IQR,art_flatline
0,0,0,decomp+Chang+IQR,art_flatline
0.49099099099099097,0.2704714640198511,0.34879999999999994,Chang,art_increase_spike_density
0.49099099099099097,0.2704714640198511,0.34879999999999994,decomp+Chang,art_increase_spike_density
0.12631578947368421,0.02977667493796526,0.048192771084337345,decomp+IQR,art_increase_spike_density
0.47186147186147187,0.2704714640198511,0.34384858044164035,decomp+Chang+IQR,art_increase_spike_density
0.5529411764705883,0.4665012406947891,0.506056527590848,Chang,art_load_balancer_spikes
0.4449152542372881,0.26054590570719605,0.32863849765258213,decomp+Chang,art_load_balancer_spikes
0.24180327868852458,0.29280397022332505,0.2648709315375982,decomp+IQR,art_load_balancer_spikes
0.26223776223776224,0.37220843672456577,0.3076923076923077,decomp+Chang+IQR,art_load_balancer_spikes
0,0,0,Chang,art_noisy
0,0,0,decomp+Chang,art_noisy
0,0,0,decomp+IQR,art_noisy
0,0,0,decomp+Chang+IQR,art_noisy
0.15064562410329985,0.07004669779853236,0.09562841530054646,Chang,cpu_utilization_asg_misconfiguration
0.47072879330943845,0.2628418945963976,0.3373287671232877,decomp+Chang,cpu_utilization_asg_misconfiguration
0.6645569620253164,0.7004669779853235,0.6820396232543033,decomp+IQR,cpu_utilization_asg_misconfiguration
0.6171617161716172,0.7484989993328885,0.6765149231233042,decomp+Chang+IQR,cpu_utilization_asg_misconfiguration
0.35,0.017412935323383085,0.03317535545023697,Chang,ec2_cpu_utilization_24ae8d
0.2777777777777778,0.012437810945273632,0.02380952380952381,decomp+Chang,ec2_cpu_utilization_24ae8d
0.09925093632958802,0.263681592039801,0.14421768707482993,decomp+IQR,ec2_cpu_utilization_24ae8d
0.09925093632958802,0.263681592039801,0.14421768707482993,decomp+Chang+IQR,ec2_cpu_utilization_24ae8d
0.46774193548387094,0.07213930348258707,0.125,Chang,ec2_cpu_utilization_53ea38
0.3333333333333333,0.017412935323383085,0.03309692671394799,decomp+Chang,ec2_cpu_utilization_53ea38
0.3333333333333333,0.022388059701492536,0.04195804195804195,decomp+IQR,ec2_cpu_utilization_53ea38
0.3333333333333333,0.022388059701492536,0.04195804195804195,decomp+Chang+IQR,ec2_cpu_utilization_53ea38
1,0.13681592039800994,0.24070021881838072,Chang,ec2_cpu_utilization_5f5533
0.8,0.009950248756218905,0.019656019656019656,decomp+Chang,ec2_cpu_utilization_5f5533
1,0.004975124378109453,0.0099009900990099,decomp+IQR,ec2_cpu_utilization_5f5533
0.8,0.009950248756218905,0.019656019656019656,decomp+Chang+IQR,ec2_cpu_utilization_5f5533
0.12260536398467432,0.0794044665012407,0.09638554216867469,Chang,ec2_cpu_utilization_77c1ca
0.12260536398467432,0.0794044665012407,0.09638554216867469,decomp+Chang,ec2_cpu_utilization_77c1ca
0.16595744680851063,0.1935483870967742,0.17869415807560138,decomp+IQR,ec2_cpu_utilization_77c1ca
0.1546218487394958,0.228287841191067,0.1843687374749499,decomp+Chang+IQR,ec2_cpu_utilization_77c1ca
0.6764705882352942,0.06705539358600583,0.12201591511936338,Chang,ec2_cpu_utilization_825cc2
0.6470588235294118,0.0641399416909621,0.11671087533156498,decomp+Chang,ec2_cpu_utilization_825cc2
0.62751677852349,0.5451895043731778,0.5834633385335414,decomp+IQR,ec2_cpu_utilization_825cc2
0.6266233766233766,0.5626822157434402,0.5929339477726574,decomp+Chang+IQR,ec2_cpu_utilization_825cc2
0.5238095238095238,0.02729528535980149,0.051886792452830184,Chang,ec2_cpu_utilization_ac20cd
0.5789473684210527,0.02729528535980149,0.052132701421800945,decomp+Chang,ec2_cpu_utilization_ac20cd
0.4317073170731707,0.4392059553349876,0.4354243542435424,decomp+IQR,ec2_cpu_utilization_ac20cd
0.43309002433090027,0.44168734491315137,0.4373464373464373,decomp+Chang+IQR,ec2_cpu_utilization_ac20cd
0,0,0,Chang,ec2_cpu_utilization_c6585a
0,0,0,decomp+Chang,ec2_cpu_utilization_c6585a
0,0,0,decomp+IQR,ec2_cpu_utilization_c6585a
0,0,0,decomp+Chang+IQR,ec2_cpu_utilization_c6585a
0.15789473684210525,0.1037037037037037,0.12518628912071533,Chang,ec2_cpu_utilization_fe7f93
0.15555555555555556,0.1037037037037037,0.12444444444444444,decomp+Chang,ec2_cpu_utilization_fe7f93
0.1828793774319066,0.11604938271604938,0.14199395770392748,decomp+IQR,ec2_cpu_utilization_fe7f93
0.15954415954415954,0.1382716049382716,0.14814814814814814,decomp+Chang+IQR,ec2_cpu_utilization_fe7f93
0.2949438202247191,0.4439746300211416,0.3544303797468354,Chang,ec2_disk_write_bytes_1ef3de
0.18705035971223022,0.05496828752642706,0.0849673202614379,decomp+Chang,ec2_disk_write_bytes_1ef3de
0.1422924901185771,0.07610993657505286,0.09917355371900827,decomp+IQR,ec2_disk_write_bytes_1ef3de
0.1450980392156863,0.07822410147991543,0.10164835164835165,decomp+Chang+IQR,ec2_disk_write_bytes_1ef3de
0.17543859649122806,0.04938271604938271,0.07707129094412331,Chang,ec2_disk_write_bytes_c0d644
0.17543859649122806,0.04938271604938271,0.07707129094412331,decomp+Chang,ec2_disk_write_bytes_c0d644
0.17073170731707318,0.12098765432098765,0.14161849710982657,decomp+IQR,ec2_disk_write_bytes_c0d644
0.17073170731707318,0.12098765432098765,0.14161849710982657,decomp+Chang+IQR,ec2_disk_write_bytes_c0d644
0.9743589743589743,0.09429280397022333,0.17194570135746606,Chang,ec2_network_in_257a54
0.18983050847457628,0.13895781637717122,0.16045845272206305,decomp+Chang,ec2_network_in_257a54
0.15087719298245614,0.10669975186104218,0.125,decomp+IQR,ec2_network_in_257a54
0.19935691318327975,0.15384615384615385,0.17366946778711484,decomp+Chang+IQR,ec2_network_in_257a54
0.27058823529411763,0.04852320675105485,0.08228980322003578,Chang,ec2_network_in_5abac7
0.27058823529411763,0.04852320675105485,0.08228980322003578,decomp+Chang,ec2_network_in_5abac7
0.22388059701492538,0.0949367088607595,0.13333333333333333,decomp+IQR,ec2_network_in_5abac7
0.22388059701492538,0.0949367088607595,0.13333333333333333,decomp+Chang+IQR,ec2_network_in_5abac7
1,0.17052023121387283,0.2913580246913581,Chang,ec2_request_latency_system_failure
1,0.04046242774566474,0.07777777777777778,decomp+Chang,ec2_request_latency_system_failure
1,0.03757225433526012,0.07242339832869081,decomp+IQR,ec2_request_latency_system_failure
